"title","station","description","issues","medium","character","url","imageURL","bcastId","documentId"
"Der Kommissar und das Meer","ZDF","Samstagskrimireihe mit Walter Sittler im ZDF","15","tv","K","https://www.zdf.de//filme/der-kommissar-und-das-meer","https://www.zdf.de/assets/der-kommissar-und-das-meer-sendungsteaser-100~1920x1080?cb=1477638678840"
"Der Kriminalist","ZDF","Christian Berkel ermittelt als Bruno Schumann in ""Der Kriminalist"".","14","tv","K","https://www.zdf.de//serien/der-kriminalist","https://www.zdf.de/assets/sendungsteaser-der-kriminalist-100~1920x1080?cb=1477648101929"
"Die Küchenschlacht","ZDF","Jede Woche treten sechs Hobbyköche gegeneinander an. Jeden Tag muss ein Kandidat die Sendung verlassen.","509","tv","K","https://www.zdf.de//show/die-kuechenschlacht","https://www.zdf.de/assets/die-kuechenschlacht-sendungsteaser-100~1920x1080?cb=1477638972099"
"Kulturzeit","3sat","""kulturzeit"" berichtet aus Deutschland, Österreich und der Schweiz über das kulturelle Leben in seiner gesamten Bandbreite.","547","tv","K","https://www.zdf.de//kultur/kulturzeit","https://www.zdf.de/assets/kulturzeit-sendungsteaser-100~1920x1080?cb=1477641002767"
"Kuttner plus Zwei","","Kuttner plus Zwei: Sarah Kuttner trifft in ihrer Berliner Altbauwohnung zwei prominente Gäste zum lockeren Plausch.","23","tv","K","https://www.zdf.de//kultur/kuttner-plus-zwei","https://www.zdf.de/assets/kuttner-plus-zwei-sendungsteaser-100~1920x1080?cb=1477641044635"
"Länderspiegel","ZDF","Länderspiegel","348","tv","L","https://www.zdf.de//politik/laenderspiegel","https://www.zdf.de/assets/laenderspiegel-sendungsteaser-100~1920x1080?cb=1477583724790"
"Leschs Kosmos","ZDF","Leschs Kosmos, Wissenschaftsmagazin mit Professor Harald Lesch","514","tv","L","https://www.zdf.de//wissen/leschs-kosmos","https://www.zdf.de/assets/sendungsteaser-leschs-kosmos-100~1920x1080?cb=1477583916075"
"Letzte Spur Berlin","ZDF","Letzte Spur Berlin: Die Schicksale spurlos Verschwundener fordern das Team der Berliner Vermisstenstelle des LKA um Chefermittler Radek heraus.","9","tv","L","https://www.zdf.de//serien/letzte-spur-berlin","https://www.zdf.de/assets/sendungsteaser-letzte-spur-berlin-100~1920x1080?cb=1477657279395"
"Leute heute","ZDF","Das ZDF-Prominentenmagazin von Montag bis Freitag","141","tv","L","https://www.zdf.de//nachrichten/leute-heute","https://www.zdf.de/assets/sendungsteaser-leute-heute-100~1920x1080?cb=1477644149466"
"Lewis - Der Oxford-Krimi","ZDF","Kevin Whately spielt in dieser britischen Krimiserie  Inspector Robert Lewis, der in Oxford ermittelt","5","tv","L","https://www.zdf.de//serien/lewis","https://www.zdf.de/assets/sendungsteaser-lewis-100~1920x1080?cb=1477657735340"
"Das Literarische Quartett","ZDF","Bücherstreit im ZDF mit den Literaten Volker Weidermann, Christine Westermann, Maxim Biller und einem Gast aus der Literaturszene.","89","tv","L","https://www.zdf.de//kultur/das-literarische-quartett","https://www.zdf.de/assets/das-literarische-quartett-sendungsteaser-100~1920x1080?cb=1477579481483"
"logo!","","Aktuelle Nachrichten aus aller Welt, verständlich erklärt für Kinder: Dafür steht logo!","","tv","L","https://www.zdf.de//nachrichten/logo","https://www.zdf.de/assets/sendungsteaser-tivi-logo-100~1920x1080?cb=1477644432420"
"LOTTO Ziehung am Mittwoch","","Lotto am Mittwoch","2","tv","L","https://www.zdf.de//show/lotto-ziehung-am-mittwoch","https://www.zdf.de/assets/lotto-am-mittwoch-sendungsteaser-100~1920x1080?cb=1477641102981"
"Mainzelmännchen","","Alles Wissenswerte über Anton, Berti, Conni, Det, Edi und Fritzchen","","tv","M","https://www.zdf.de//mainzelmaennchen","https://www.zdf.de/assets/mm-sendungsteaser-100~1920x1080?cb=1479816762374"
"Mainzer Stadtschreiber","","Der Mainzer Stadtschreiber-Literaturpreis, der vom ZDF, 3sat und der Stadt Mainz seit 1985 vergeben","5","tv","M","https://www.zdf.de//kultur/mainzer-stadtschreiber","https://www.zdf.de/assets/sendungsteaser-mainzer-stadtschreiber-100~1920x1080?cb=1481299111130"
"makro","3sat","Jeden Freitagabend bietet makro Orientierung im globalen Wirtschaftsdschungel","478","tv","M","https://www.zdf.de//verbraucher/makro","https://www.zdf.de/assets/makro-sendungsteaser-100~1920x1080?cb=1477643941039"
"Mann, Sieber!","ZDF","Tobias Mann und Christoph Sieber präsentieren politische Late Night im ZDF.","65","tv","M","https://www.zdf.de//comedy/mann-sieber","https://www.zdf.de/assets/mann-sieber-sendungsteaser-100~1920x1080?cb=1477641150314"
"Marie Brand und ...","ZDF","Samstagskrimireihe um die hochbegabte Hauptkommissarin Marie Brand (Mariele Millowitsch) von der Kölner Mordkommission","25","tv","M","https://www.zdf.de//filme/marie-brand-und","https://www.zdf.de/assets/sendungsteaser-marie-brand-100~1920x1080?cb=1478270950494"
"Markus Lanz","ZDF","Talk, Talkshow, Markus Lanz, Gesellschaft","108","tv","M","https://www.zdf.de//gesellschaft/markus-lanz","https://www.zdf.de/assets/markus-lanz-sendungsteaser-100~1920x1080?cb=1482327073235"
"maybrit illner","ZDF","Einmal pro Woche führt Maybrit Illner durch ihren gleichnamigen Polittalk. Mit Gästen aus Gesellschaft, Politik und Wirtschaft diskutiert sie live aus Berlin das ""Thema der Woche"".","105","tv","M","https://www.zdf.de//politik/maybrit-illner","https://www.zdf.de/assets/maybrit-illner-sendungsteaser-100~1920x1080?cb=1477041827530"
"Menschen 2016","","Der ZDF-Jahresrückblick mit Markus Lanz","20","tv","M","https://www.zdf.de//show/menschen-2016/menschen-102.html","https://www.zdf.de/assets/menschen-2016-sendungsteaser-100~1920x1080?cb=1480073015746"
"Menschen - das Magazin","ZDF","""Menschen - das Magazin"" stellt den Alltag von Menschen in den Mittelpunkt, die sonst eher am Rande der Gesellschaft leben.","98","tv","M","https://www.zdf.de//gesellschaft/menschen-das-magazin","https://www.zdf.de/assets/menschen-das-magazin-sendungsteaser-100~1920x1080?cb=1477641423970"
